,Product_Name,Prices,Desc,Reviews
154,"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,299","Tue, 11 Feb ",N/A
155,"iQOO Z9x 5G (Storm Grey, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",Or fastest delivery ,N/A
156,"Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Tablets, Kindle, iPad(Black)",119,"Tomorrow, 10 Feb ",N/A
157,"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",FREE delivery ,N/A
158,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 256GB Storage)","20,998","Tue, 11 Feb ",N/A
159,"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","21,499",Or fastest delivery ,N/A
160,"Tecno POP 9 (Startrail Black, 3GB+64GB) |India's 1st Mediatek G50 | IP54 Rated | IR Remote | Dual Speaker with DTS | 36 Month Lag Free Fluency | 15W Fast Charging Support | 5000 mAh Battery","6,499","Tomorrow, 10 Feb ",N/A
161,"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box","11,399",FREE delivery ,N/A
162,"iQOO Z9S Pro 5G (Luxe Marble, 12Gb Ram, 256Gb Storage) | Snapdragon 7 Gen 3 Processor | 120 Hz Curved Amoled Display with 4500 Nits Local Peak Brightness | 5500 Mah Battery | Ai Erase, White","26,999","Wed, 12 Feb ",N/A
163,N/A,N/A,"₹7,345",N/A
164,N/A,N/A,FREE delivery ,N/A
165,N/A,N/A,"Wed, 12 Feb ",N/A
166,N/A,N/A,Or fastest delivery ,N/A
167,N/A,N/A,"Tue, 11 Feb ",N/A
168,N/A,N/A,FREE delivery ,N/A
169,N/A,N/A,"Fri, 14 Feb ",N/A
170,N/A,N/A,FREE delivery ,N/A
171,N/A,N/A,"Tue, 11 Feb ",N/A
172,N/A,N/A,Or fastest delivery ,N/A
173,N/A,N/A,"Tomorrow, 10 Feb ",N/A
174,N/A,N/A,FREE delivery ,N/A
175,N/A,N/A,"Tue, 11 Feb ",N/A
176,N/A,N/A,Or fastest delivery ,N/A
177,N/A,N/A,"Tomorrow, 10 Feb ",N/A
178,N/A,N/A,FREE delivery ,N/A
179,N/A,N/A,"Tue, 11 Feb ",N/A
180,N/A,N/A,Or fastest delivery ,N/A
181,N/A,N/A,"Tomorrow, 10 Feb ",N/A
182,N/A,N/A,FREE delivery ,N/A
183,N/A,N/A,"Tue, 11 Feb ",N/A
184,N/A,N/A,on ₹499 of items fulfilled by Amazon,N/A
185,N/A,N/A,Or fastest delivery ,N/A
186,N/A,N/A,"Tomorrow, 10 Feb ",N/A
187,N/A,N/A,FREE delivery ,N/A
188,N/A,N/A,"Tue, 11 Feb ",N/A
189,N/A,N/A,Or fastest delivery ,N/A
190,N/A,N/A,"Tomorrow, 10 Feb ",N/A
191,N/A,N/A,FREE delivery ,N/A
192,N/A,N/A,"Tue, 11 Feb ",N/A
193,N/A,N/A,Or fastest delivery ,N/A
194,N/A,N/A,"Tomorrow, 10 Feb ",N/A
195,N/A,N/A,FREE delivery ,N/A
196,N/A,N/A,"Thu, 13 Feb ",N/A
197,N/A,N/A,FREE delivery ,N/A
198,N/A,N/A,"Tue, 11 Feb ",N/A
199,N/A,N/A,Or fastest delivery ,N/A
200,N/A,N/A,"Tomorrow, 10 Feb ",N/A
201,N/A,N/A,₹900 off coupon applied,N/A
202,N/A,N/A, with coupon,N/A
203,N/A,N/A,FREE delivery ,N/A
204,N/A,N/A,"Tue, 11 Feb ",N/A
205,N/A,N/A,Or fastest delivery ,N/A
206,N/A,N/A,"Tomorrow, 10 Feb ",N/A
207,N/A,N/A,"₹11,189",N/A
208,N/A,N/A,FREE delivery ,N/A
209,N/A,N/A,"Thu, 13 Feb ",N/A
210,N/A,N/A,Or fastest delivery ,N/A
211,N/A,N/A,"Wed, 12 Feb ",N/A
212,N/A,N/A,"
                                                        mobile under 50000-60000
                                                    ",N/A
213,N/A,N/A,"
                                                            mobile under 40000
                                                        ",N/A
214,N/A,N/A,"
                                                        mobile under 5000
                                                    ",N/A
215,N/A,N/A,"
                                                            mobiles under 50000 5g phones
                                                        ",N/A
216,N/A,N/A,"
                                                        mobile
                                                    ",N/A
217,N/A,N/A,"
                                                            samsung mobiles under 50000
                                                        ",N/A
218,N/A,N/A, or ,N/A
219,"Samsung Galaxy A14 5G (Dark Red, 4GB, 128GB Storage) | Triple Rear Camera (50 MP Main) | Upto 8 GB RAM with RAM Plus | Without Charger","12,848",FREE delivery ,N/A
220,"iQOO Z9s 5G (Titanium Matte, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light","19,999","Wed, 12 Feb ",N/A
221,"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","7,498",Or fastest delivery ,N/A
222,"Redmi 13 5G, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,149","Tomorrow, 10 Feb ",N/A
223,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)","23,999",FREE delivery ,N/A
224,"Kratos Moto-B2 Mobile Holder for Bikes with One Click Locking, Mirror Fitting Style, Anti-Shake-Firm Grip, 360° Rotation, Mobile Holder for Scooty, Activa, Jupiter, Electric Scooters & Bikes",549,"Tue, 11 Feb ",N/A
225,"POCO X6 Neo 5G (Martian Orange, 8GB RAM, 128GB Storage) | Dimensity 6080 Processor | 5000 mAh Battery + 33W Fast Charging | 108MP + 2MP Rear Camera & 16MP Front Camera","11,999",Or fastest delivery ,N/A
226,"Vivo T3X 5G (Crimson Bliss, 4GB Ram, 128GB Storage)","12,345","Tomorrow, 10 Feb ",N/A
227,"Lava O3 (Glossy Lavender, 3 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","5,999","₹1,000 off coupon applied",N/A
228,"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update","13,499", with coupon,N/A
229,"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","11,939",FREE delivery ,N/A
230,"Motorola G45 5G (Brilliant Blue, 8GB RAM, 128GB Storage)","11,864","Tue, 11 Feb ",N/A
231,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 128GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light","19,999",Or fastest delivery ,N/A
232,"GRAND PITSTOP Mobile Holder for Bikes, Motorcycle, Scooter, Bicycles, Jaw Grip Bike Mobile Holder, Aluminium Handlebar Cellphone Holder for Maps and Gps Navigation with 360° Rotation Phone Mount-Black",599,"Tomorrow, 10 Feb ",N/A
233,"Lava O3 (Glossy Blue, 3 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","5,999",FREE delivery ,N/A
234,ZedGear Wall Mounted Mobile Holder Storage Case for Remote with Charging Port & Adjustable Viewing Angle Mobile Stand/Multi Purpose Stand - White (Pack of 3),199,"Thu, 13 Feb ",N/A
235,N/A,N/A,Or fastest delivery ,N/A
236,N/A,N/A,"Wed, 12 Feb ",N/A
237,N/A,N/A,FREE delivery ,N/A
238,N/A,N/A,"Tue, 11 Feb ",N/A
239,N/A,N/A,Or fastest delivery ,N/A
240,N/A,N/A,"Tomorrow, 10 Feb ",N/A
241,N/A,N/A,FREE delivery ,N/A
242,N/A,N/A,"Wed, 12 Feb ",N/A
243,N/A,N/A,Or fastest delivery ,N/A
244,N/A,N/A,"Tomorrow, 10 Feb ",N/A
245,N/A,N/A,FREE delivery ,N/A
246,N/A,N/A,"Wed, 12 Feb ",N/A
247,N/A,N/A,Or fastest delivery ,N/A
248,N/A,N/A,"Tomorrow, 10 Feb ",N/A
249,N/A,N/A,FREE delivery ,N/A
250,N/A,N/A,"Tue, 11 Feb ",N/A
251,N/A,N/A,Or fastest delivery ,N/A
252,N/A,N/A,"Tomorrow, 10 Feb ",N/A
253,N/A,N/A,"₹12,320",N/A
254,N/A,N/A,₹500 off coupon applied,N/A
255,N/A,N/A, with coupon,N/A
256,N/A,N/A,FREE delivery ,N/A
257,N/A,N/A,"Tue, 11 Feb ",N/A
258,N/A,N/A,Or fastest delivery ,N/A
259,N/A,N/A,"Tomorrow, 10 Feb ",N/A
260,N/A,N/A,₹500 off coupon applied,N/A
261,N/A,N/A, with coupon,N/A
262,N/A,N/A,FREE delivery ,N/A
263,N/A,N/A,"Wed, 12 Feb ",N/A
264,N/A,N/A,Or fastest delivery ,N/A
265,N/A,N/A,"Tomorrow, 10 Feb ",N/A
266,N/A,N/A,FREE delivery ,N/A
267,N/A,N/A,"Tue, 11 Feb ",N/A
268,N/A,N/A,Or fastest delivery ,N/A
269,N/A,N/A,"Tomorrow, 10 Feb ",N/A
270,N/A,N/A,"₹11,850",N/A
271,N/A,N/A,FREE delivery ,N/A
272,N/A,N/A,"Thu, 13 Feb ",N/A
273,N/A,N/A,Or fastest delivery ,N/A
274,N/A,N/A,"Wed, 12 Feb ",N/A
275,N/A,N/A,FREE delivery ,N/A
276,N/A,N/A,"Tue, 11 Feb ",N/A
277,N/A,N/A,Or fastest delivery ,N/A
278,N/A,N/A,"Tomorrow, 10 Feb ",N/A
279,N/A,N/A,FREE delivery ,N/A
280,N/A,N/A,"Thu, 13 Feb ",N/A
281,N/A,N/A,Or fastest delivery ,N/A
282,N/A,N/A,"Wed, 12 Feb ",N/A
283,N/A,N/A,₹500 off coupon applied,N/A
284,N/A,N/A, with coupon,N/A
285,N/A,N/A,FREE delivery ,N/A
286,N/A,N/A,"Tue, 11 Feb ",N/A
287,N/A,N/A,Or fastest delivery ,N/A
288,N/A,N/A,"Tomorrow, 10 Feb ",N/A
289,N/A,N/A,FREE delivery ,N/A
290,N/A,N/A,"Tue, 11 Feb ",N/A
291,N/A,N/A,on ₹499 of items fulfilled by Amazon,N/A
292,N/A,N/A,Or fastest delivery ,N/A
293,N/A,N/A,"Tomorrow, 10 Feb ",N/A
294,N/A,N/A,"
                                                        mobile under 50000-60000
                                                    ",N/A
295,N/A,N/A,"
                                                            mobile under 40000
                                                        ",N/A
296,N/A,N/A,"
                                                        mobile under 5000
                                                    ",N/A
297,N/A,N/A,"
                                                            mobiles under 50000 5g phones
                                                        ",N/A
298,N/A,N/A,"
                                                        mobile
                                                    ",N/A
299,N/A,N/A,"
                                                            samsung mobiles under 50000
                                                        ",N/A
300,N/A,N/A, or ,N/A
301,"Redmi A3X (Midnight Black, 64 GB) (4 GB RAM)","6,193",FREE delivery ,N/A
302,"Motorola G05 4G (Plum Red, 4GB RAM, 64GB Storage)","7,315","Tue, 11 Feb ",N/A
303,"Ambrane 360° Rotation, Foldable Design Mobile Stand with Stable Metalic Round Base, Multiple Height & Angle adjustments Compatible with Smartphones, Tablets, Kindles & iPad (Twistand 360, Black)",299,Or fastest delivery ,N/A
304,"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","9,499","Tomorrow, 10 Feb ",N/A
305,POCO M6 Plus 5G Graphite Black 6GB RAM 128GB ROM,"10,999","₹6,188",N/A
306,"iQOO Z9s 5G (Onyx Green, 8GB RAM, 256GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light","21,999",FREE delivery ,N/A
307,"Vivo T3x 5G (Crimson Bliss, 128 GB) (6 GB RAM)","13,829","Fri, 14 Feb ",N/A
308,"Motorola G45 5G (Brilliant Green, 8GB RAM, 128GB Storage) | 6.5"" FHD+ Display | Snapdragon 6 Gen1 Processor | 50MP Camera | 16MP Front Camera | 5000mAh Battery | 33W Charging","11,832",Or fastest delivery ,N/A
309,"Amazon Basics 3110 Aluminium Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All Smartphone, GoPro, Cameras",329,"Wed, 12 Feb ",N/A
310,"iQOO Z9 Lite 5G (Mocha Brown, 4GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","10,499","₹7,187",N/A
311,"iQOO Z9s 5G (Titanium Matte, 8GB RAM, 256GB Storage) | 120 Hz 3D Curved AMOLED Display | 5500 mAh Ultra-Thin Battery | Dimesity 7300 5G Processor | Sony IMX882 OIS Camera with Aura Light","21,999",FREE delivery ,N/A
312,"Redmi 13 5G, Black Diamond, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","13,999","Tue, 11 Feb ",N/A
313,"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)","17,998",on ₹499 of items fulfilled by Amazon,N/A
314,"Lava O3 (Glossy Black, 4 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","6,499",Or fastest delivery ,N/A
